N2	N2	-6.0614558E-03	1.2689102E-01	-1.0616948E+00	8.0955466E+02
N2	O2	-3.7959091E-03	9.5708295E-02	-1.0070611E+00	8.9392313E+02
O2	O2	-8.0682650E-04	1.6602480E-02	-3.1472774E-01	1.4116458E+02
N2	N	-1.0796249E-02	2.2656509E-01	-1.7910602E+00	4.0455218E+03
O2	N	-1.1453028E-03	1.2654140E-02	-2.2435218E-01	7.7201588E+01
N	N	-9.6083779E-03	2.0938971E-01	-1.7386904E+00	3.3587983E+03
N2	O	-2.7244269E-03	6.9587171E-02	-7.9538667E-01	4.0673730E+02
O2	O	-4.8405803E-03	1.0297688E-01	-9.6876576E-01	6.1629812E+02
N	O	-7.8147689E-03	1.6792705E-01	-1.4308628E+00	1.6628859E+03
O	O	-6.4040535E-03	1.4629949E-01	-1.3892121E+00	2.0903441E+03
N2	NO	-1.9295666E-03	2.7995735E-02	-3.1588514E-01	1.2880734E+02
O2	NO	-6.4433840E-04	8.5378580E-03	-2.3225102E-01	1.1371608E+02
NO	N	-1.5770918E-03	1.9578381E-02	-2.7873624E-01	9.9547944E+01
NO	O	-1.0885815E-03	1.1883688E-02	-2.1844909E-01	7.5512560E+01
NO	NO	0.0000000E+00	-1.1056066E-02	-5.9216250E-02	7.2542367E+01
N2	NOp	0.0000000E+00	9.1205839E-02	-1.8728231E+00	2.4432020E+05
O2	NOp	-3.7822765E-03	1.7967016E-01	-2.5409098E+00	1.1840435E+06
N	NOp	-1.9605234E-02	5.5570872E-01	-5.4285702E+00	1.3574446E+09
O	NOp	-1.6409054E-02	4.6352852E-01	-4.5479735E+00	7.4250671E+07
NO	NOp	-8.1158474E-03	2.1474280E-01	-2.0148450E+00	6.2986385E+04
e	N2	-1.0525124E-02	1.3498950E-01	1.2524805E-01	1.5066506E-01
e	O2	2.3527001E-02	-6.9632323E-01	6.8035475E+00	1.8335509E-09
e	N	0.0000000E+00	1.6554247E-01	-3.4986344E+00	5.9268038E+08
e	O	9.9865506E-03	-2.7407431E-01	2.6561032E+00	4.3080676E-04
e	NO	1.0414818E-01	-2.8369126E+00	2.5323135E+01	7.7138358E-32
N2	Np	-1.0687805E-02	2.4479697E-01	-2.3192863E+00	1.0689229E+05
O2	Np	0.0000000E+00	8.7745537E-02	-1.8347158E+00	1.9830120E+05
N	Np	-4.0078980E-03	1.0327487E-01	-9.9473323E-01	2.8178290E+03
O	Np	-1.5767256E-02	3.5405830E-01	-3.0686783E+00	4.6336779E+05
NO	Np	0.0000000E+00	8.6531037E-02	-1.8117931E+00	1.8621272E+05
N2	Op	1.0352091E-02	-1.5733723E-01	2.9326150E-02	2.1003616E+03
O2	Op	0.0000000E+00	9.3559978E-02	-1.9842999E+00	4.3097490E+05
N	Op	-2.4288224E-02	5.6305072E-01	-4.6849679E+00	2.7303024E+07
O	Op	-3.8347988E-03	9.9930498E-02	-9.6288891E-01	1.9669897E+03
NO	Op	8.3856973E-03	-1.0972656E-01	-3.3896281E-01	5.2004690E+03
N2	N2p	-2.9123716E-03	9.6850678E-02	-1.1416540E+00	7.9252169E+03
O2	N2p	-4.0893007E-03	1.7795266E-01	-2.3800543E+00	5.1949298E+05
N	N2p	-1.4501284E-02	4.1085338E-01	-4.0115094E+00	1.5735451E+07
O	N2p	-1.6923472E-02	4.6067692E-01	-4.3294966E+00	2.5538927E+07
NO	N2p	-9.2292933E-03	2.9813226E-01	-3.2899475E+00	4.9147046E+06
N2	O2p	1.2405624E-02	-2.0452111E-01	3.5478475E-01	1.0778357E+03
O2	O2p	-8.9520932E-03	2.2749642E-01	-2.0758341E+00	6.7674419E+04
N	O2p	0.0000000E+00	8.3065769E-02	-1.7501512E+00	1.0846799E+05
O	O2p	-2.9417970E-03	1.5129273E-01	-2.2497964E+00	2.9325215E+05
NO	O2p	1.3731123E-02	-2.3920299E-01	6.7093226E-01	4.0068731E+02
